Santiago de Cuba,Cuba,6.5,15.0,5.0,4.0,2.0,2.0,2.0,1.0,3.8,1.1,1.1,2.03,9.0,6.61,6.61,11.02,0.44,1.1,0.88,1.1,2.2,0.25,2.0,3.0,2.5,2.5,5.0,nan,nan,nan,0.7,nan,nan,nan,nan,nan,0.1,nan,nan,nan,1.0,nan,nan,40.0,40.0,60.0,50.0,nan,nan,600.0,nan,nan,nan,18.0,nan,0
Santa Clara,Cuba,10.0,30.0,5.0,1.25,3.0,1.91,2.0,0.5,3.52,1.0,1.0,1.64,4.0,6.07,10.0,6.24,1.0,1.12,1.0,1.82,2.0,0.86,0.98,5.0,1.0,1.71,3.5,0.5,nan,1.0,0.5,15.0,1.14,80000.0,81500.0,11.5,0.26,80.0,6.0,nan,1.12,70.0,15166.67,55.5,44.33,79.17,78.0,nan,nan,nan,nan,nan,nan,25.0,5.73,0
Havana,Cuba,10.0,40.0,7.0,2.5,3.0,1.91,2.28,1.63,3.52,1.18,1.85,1.64,4.85,6.07,11.59,6.24,1.1,1.12,2.05,1.82,2.34,0.86,0.98,10.0,1.49,1.71,3.5,0.1,20.0,1.0,0.5,15.0,1.14,80000.0,81500.0,37.14,0.26,165.0,16.67,13.75,1.12,70.0,15166.67,55.5,44.33,79.17,78.0,532.86,222.5,1625.0,730.0,490.89,268.23,35.75,5.73,1
Las Tunas,Cuba,3.0,14.0,nan,2.25,2.0,1.0,1.25,1.0,nan,1.1,1.1,2.4,4.41,6.61,6.61,11.02,0.44,1.1,0.88,1.1,2.2,0.25,2.0,3.0,3.57,2.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1,nan,15.0,5.0,1.0,nan,nan,40.0,40.0,60.0,50.0,nan,nan,nan,nan,nan,nan,40.0,nan,0
Moratuwa,Sri Lanka,1.36,3.25,1.98,0.95,1.08,0.27,0.19,0.14,0.73,0.19,0.34,0.65,9.76,2.71,3.53,2.03,0.35,1.63,0.49,0.47,0.43,0.62,0.19,9.49,1.08,0.81,4.88,nan,nan,0.22,0.14,0.16,0.53,16271.32,35254.52,27.12,0.01,2.44,4.07,nan,2.17,40.68,677.97,21.7,9.49,27.12,40.68,nan,12.2,nan,27.12,nan,nan,36.61,12.0,0
Hamah,Syria,3.5,12.0,2.5,2.0,3.0,0.75,0.9,0.5,0.5,0.75,1.25,2.1,3.0,3.75,6.0,1.0,3.25,1.25,0.5,0.55,0.45,0.25,0.75,6.0,nan,nan,2.5,0.2,nan,0.5,0.5,10.0,1.5,nan,nan,nan,0.1,nan,3.5,3.5,3.0,35.0,500.0,10.0,25.0,nan,20.0,nan,nan,90.0,65.0,1000.0,600.0,50.0,12.0,0
Kasese,Uganda,1.34,13.4,10.72,1.07,2.01,1.34,0.27,0.27,0.48,0.94,1.14,1.45,3.75,8.71,3.21,4.02,1.07,0.94,1.0,0.67,0.8,0.8,0.54,6.7,0.8,3.21,1.47,0.54,13.4,0.94,1.34,2.01,1.42,16074.93,13395.78,40.19,0.11,50.9,25.45,2.68,2.68,40.19,nan,16.07,16.07,40.19,40.19,80.37,53.58,187.54,120.56,nan,401.87,66.98,nan,0
Damascus,Syria,4.0,22.0,4.5,1.75,2.25,1.01,0.82,0.46,1.15,1.17,1.46,1.48,3.97,6.25,10.25,1.01,2.32,0.64,0.79,0.63,0.39,0.32,0.56,5.0,1.01,2.2,2.0,0.1,17.0,1.19,1.59,7.93,1.16,26000.0,33666.67,18.48,0.01,50.67,14.47,10.0,3.0,133.06,2676.54,36.19,29.5,116.22,64.64,282.72,182.54,476.27,266.42,2000.0,1877.4,50.24,11.38,1
Homs,Syria,5.98,37.35,nan,2.49,1.0,0.75,1.15,0.55,0.6,0.8,0.82,1.2,3.32,5.15,10.97,1.33,1.5,0.38,0.93,0.33,0.38,0.52,0.48,7.48,0.7,1.0,1.25,0.05,4.0,0.8,0.65,1.5,1.07,nan,nan,200.0,0.0,nan,9.0,3.5,3.0,66.67,1950.0,25.0,15.0,150.0,150.0,76.67,40.0,306.67,100.0,1000.0,350.0,46.33,8.0,0
Banjul,Gambia,1.21,16.13,5.24,1.21,1.61,1.51,0.73,0.34,1.21,0.27,0.86,1.97,5.98,3.02,4.57,1.67,1.45,1.32,1.13,0.94,0.67,0.32,0.35,2.62,1.26,1.79,1.45,0.15,8.06,0.81,0.81,4.84,0.85,2096.77,nan,41.94,0.05,92.74,16.94,5.65,4.84,24.19,362.9,8.06,11.29,48.39,19.35,120.97,17.56,104.84,43.01,4838.71,2419.35,75.27,5.25,0
